orgao,link,titulo,reclamacao,nome_orgao_site,id,grupo_avaliando
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/344195/stf-supremo-tribunal-federal/por-que-pagar-imposto/,POR QUE PAGAR IMPOSTO ?,"
        ESTOU COM MEUS IMPOSTOS ATRASADOS!
PRECISO PAGAR PLANO DE SAÚDE PARTICULAR!
O GOVERNO ESTÁ USANDO O DINHEIRO DE FORMA ERRADA, ROUBANDO, COLOCANDO NA CUECA, E NÃO ESTÁ INVESTINDO EM SAUDE, EDUCAÇÃO E SEGURANÇA
MUITO INJUSTO ELE ME COBRAR IMPOSTO, EU NÃO ESTOU PAGANDO OS IMPOSTOS DAS.
TODO MES TENHO QUE EMITIR UMA UNICA NOTA FISCAL PELA MINHA PRESTACAO DE SERVICO DE TI, SOU PROGRAMADOR, E JÁ ESTÃO AMEAÇANDO:
Caso os débitos descritos na referida intimação não sejam quitados ou regularizados, o
contribuinte estará sujeito a:
- inclusão no Cadastro Informativo de Créditos não Quitados do Setor Público Federal - CADIN,
impedindo operações de crédito com recursos públicos, a concessão de incentivos fiscais e
financeiros e a celebração de convênios e similares que envolvam desembolso de recursos
públicos e respectivos aditamentos (Lei no 10.522, de 2002);
- encaminhamento dos débitos para inscrição em Dívida ativa, para fins de cobrança judicial, com
a possibilidade de penhora ou arresto de bens, e acréscimo relativos aos encargos legais;
- exclusão do Simples Nacional, conforme disposto no inciso V do art. 17 da Lei Complementar no
123, de 14 de dezembro de 2006, e na alínea ""d"" do inciso II do art. 73, combinada com o inciso I
do art. 76, amboas da Resolução CGSN no 94, de 29 de novembro de 2011.
Atenciosamente,
Secretaria da Receita Federal do Brasil
QUE PAÍS É ESSE! NÃO SOBRA DINHEIRO PARA PAGAR O GOVERNO, PRECISO PAGAR O PLANO DE SAÚDE DE MINHA FAMILIA NO VALOR DE MAIS 700,00! EU QUERO FICAR ISENTO DESSE IMPOSTO ATÉ TODOS OS POLITICOS NÃO TEREM TODOS ESSES BENEFICIOS QUE TEEM E QUE NINGUEM ESTEJA DESVIANDO O MEU DINHEIRO !
NAO QUERO MAIS SUSTENTAR POLITICOS BANDIDOS!",http://www.stf.jus.br,1,2
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/272520/stf-supremo-tribunal-federal/ouvidorias-e-corregedorias-so-para-desabafo/,Ouvidorias e Corregedorias só para desabafo,"
        Já enviei várias mensagens, inclusive por escrito com aviso de recebimento, questionando a demora para o Judiciário cumprir a legislação no caso da execução de uma dívida confessa. De acordo com o CPC, uma dívida confessa deve ser paga em três dias, no entanto, os oficiais de justiça da cidade de Peruíbe (SP), onde corre o processo, nem mesmo entregar a intimação ao Arquiteto estelionatário eles conseguem. Muito estranho, já que essa pessoa reside há mais de 20 anos na cidade, que é muito pequena, tem placas espalhadas em várias obras e presta serviços ao forum da cidade como Perito. Enquanto o golpista vive bem às custas dos seus credores, eu que sou aposentada, filha única e única responsável por minha mãe idosa, portadora de mal de alzheimer e agora com câncer, tenho que passar dificuldades por ter sido vítima de um ladrão que está às soltas. Há algo de muito podre no Judiciário de Peruíbe e os órgãos fiscalizadores não fazem NADA!!! As leis nesse país são uma piada e o STJ não faz NADA!!! Canais de atendimento e reclamações servem apenas como desabafo e cabidão de emprego. A demora na execução da lei, beneficia apenas gente que não presta. Esse país acabou. Isso aqui não tem mais jeito.",http://www.stf.jus.br,2,3
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/254736/stf-supremo-tribunal-federal/falta-de-respeito-com-cidadao/,falta de respeito com cidadao,"
        bom dia senhores, venho por meio desde canal tentar fazer com que vcs se comovam e resolvam meus processos que estao em abertos a meses...
1: 00323041620148260405
2; 00322617920148260405
3; 00024928920158260405
4; 10141320920148260405
PESSO ENCARECIDAMENTE QUE UMA LUZ SOBRE VCS RESOLVA ISSO POR MIM, PQ DE VERDADE E DIFICIL.",http://www.stf.jus.br,3,4
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/331841/stf-supremo-tribunal-federal/a-justica-brasileira-e-f-d-p/,A Justiça Brasileira é F.d.P?,"
        F.d.P significa Falta de Proficiência.
Para entender a reclamação é preciso saber da história.
Desde pequeno fui fascinado por aviação, me inscrevi para ser piloto de avião de caça,mas na época a séria crise econômica brasileira (o Brasil vive em crise econômica) fez a FAB (Força Aérea Brasileira) cancelar as inscrições (1993), quando o Brasil voltou a crescer eu fui convocado em Julho de 1996, mas a idade limite era de 21 anos e eu havia completado 22 anos faziam-se 03 meses.
Perdi a chance por causa de um país que só vive em crise!
Resolvi tentar entrar na Embraer S.A, foram 12 anos de luta e tentativas, consegui fazer parte da Embraer em 09/04/2007 até 10/08/2012.
Mas diziam que somente os melhores entravam na Embraer,então gastava meu dinheiro em livros, SENAI e ferramentas para praticar em casa,enquanto o resto da juventude gastava em noitadas e diversões.
Primeiro teste foi em 2005 para o Hangar F 107/1 (usinagem) com o supervisor ""Cebolinha"", fui aprovado com a melhor nota mas fui recusado porque eu era bom demais para a função de ficar a debastar alumínio em bancada.
Meu segundo teste foi em 2006 para o F 220 com o supervisor JOEL, novamente fui aprovado, mas fui recusado porque queria estudar Engenharia e o supervisor JOEL queria que eu estudasse Administração.
Fiquei tão desolado que voltei a pé (mais de 20 quilômetros) para casa e debaixo de chuva.
Chegando em casa somente voltei a realidade no dia seguinte, sentei na cama e escrevi uma carta ao RH da Embraer contando o ocorrido.
Três semanas depois fui chamado para novo teste e fui pela terceira vez aprovado.
Desta vez pude ir a Embraer, mas fui barrado na portaria e por duas horas ninguém sabia me dizer onde seria o local da integração.
Tomei então das mão o telefone da atendente e consegui conversar com uma pessoa chamada VIVIANE que então me recebeu e me chamou para dentro da empresa.
Doze anos de luta e consegui entrar na Embraer em 09/04/2007.
Mas aí meses depois conheci meu novo supervisor ""Adilson Marchessoti"" e minha vida virou do avesso.
Eu havia entrado na Faculdade como a melhor nota da turma e minha esposa ao me avisar acabou ligando para mesa do supervisor Adilson que me deu o recado, ele disse que nunca conheceu alguém que passou em primeiro lugar, ele mesmo passou em 136° lugar mas a faculdade possuía vagas apenas até a 134°, ou seja ele somente entrou na faculdade por desistência de outros.
A partir daí surgiu uma ponta de inveja do supervisor e não foi bom para mim, que a cada ano ele me isolava e me prejudicava.
Quando a faculdade ficou muito cara para mim, tentei o ENEM e fui aprovado ganhando uma bolsa gratuita,mas o curso era a noite e não poderia cursar por causa do horário de trabalho.
A faculdade me deu 06 meses para tentar mudar o horário de trabalho e no quinto mês surgiu uma oportunidade.
O supervisor Adilson fez o comunicado da oportunidade de mudança de turno e eu fui o primeiro candidato.
Mas no dia da mudança ele não me mudou de turno e me ameaçou ainda por cima se persistisse.
Mas como este acordo foi feito via e-mail ele ficou com medo e tentou me obrigar a assinar um documento onde eu assumia toda a culpa por não ter sido transferido de turno.
Como não assinei ele me demitiu, mas antes ele transformou minha vida em um inferno e como consequência fique lesionado nos punhos e ombro esquerdo porque ele me sobrecarregou de serviço para ver se pedia demissão.
Não assinei o exame da demissão porque estava sobre tratamento médico, mas mesmo assim fui chutado da empresa.
E mesmo comunicando o fato a gerência e ao RH da Embraer todo mundo ficou quieto, mesmo mostrando que das 275 pessoas de minha turma eu fui o único na avaliação de competência da Embraer a ter 100% de acerto, o segundo colocado ficou com 76% e o restante com média de 25%.
Tirei 100% de eficiência e ganhei um pé na bunda!
Entrei com um processo no TRT 15 de São José dos Campos/SP e parecia fácil devido as provas a mim fornecidas (0001582-37-2012-5-15-0013).
Mas perdi no quesito exame médico e reintegração.
Foi aí que descobri que o perito médico trabalhava para empresa (proibido por lei) e que meu advogado havia entregue documento em atraso, após vencer o prazo.
Quando descobri o acontecido meu advogado (Gregório Vicente) me fez de idiota para procurar e conseguir documentos diversos que ele nunca anexou ao processo.
Então eu descobri que na verdade ele queria que eu não achasse estes documentos para então alegar que aquele documento não encontrado que me daria a vitória.
Quando descobri isto o processei, e ganhei e como indenização ele abriu mão de seus honorários de 30%.
Mas depois disto não consegui advogado e parti para luta sozinho.
Fui obrigado a ser auto didata na função de advogado.
Com o processo já em segunda instância entrei com um pedido de Embargos de Declaração após decisão da juíza, que então respondeu que desconhecia os fatos narrados no Embargo.
Em um segundo embargo mostrei a ela onde se encontrava os fatos na inicial.
Ela então, uma juíza de segunda instância, disse que minha inicial (petição inicial) não estava de acordo com as leis, uma petição inicial que transitou normalmente em primeira instância.
Entrei com terceiro embargo apresentando as leis da CLT para minha defesa e o embargo desapareceu, apesar de eu possuir a documentação informando que foi entregue.
Eu enviei por e-mail (eletrônico) e pelo correio dentro das leis do PROT 15 da época e as duas formas de envio foram aceitas.
Depois eles apareceram e faltando folhas, justamente aquelas de poder comprabatório.
Entrei com um pedido de ""Ação Reclamatória Autônoma de Falsidade Documental"" por que o perito médico atuava na Embraer (proibido) e meus laudos médicos sumiram e o perito anexou apenas os laudos da Embraer que estavam sem assinatura, minha e do médico responsavél.
Apresentei toda a documentação verdadeira, que novamente sumiu, reaparecendo toda bagunçada no processo.
Reclamei a corregedoria que nada vez,descobri depois que o novo juiz corregedor era o juiz do acórdão,um juiz que não iria condenar a si próprio.
Então meu processo foi encerrado e enviado como ""Baixa Definitiva"" de volta a São José dos Campos.
Reclamei ao presidente do tribunal porque existia um recurso de revista (para Brasília) que não foi julgado.
O presidente em seu Ofício GPR 070/2016 disse que nada poderia fazer por constar já ""Baixa Definitiva"".
Três meses depois o processo foi reaberto e enviado a Brasília, mas somente a parte da Embraer e não a minha que desapareceu.
Reclamei então a CNJ (Corregedoria Nacional de Justiça) que achou o meu pedido como um pedido de conciliação e a CNJ não faz conciliação,então ele foi arquivado.
Recorri da decisão e o processo foi reaberto e encaminhado ao TRT 15 que foi julgado pelo mesmo juiz no qual eu estava criticando por suas ações.
Novamente este juiz do TRT 15 arquivou o processo.
Reclamei novamente a CNJ que acabou arquivando meu pedido alegando mero descontentamento.
O perito desaparece com meus documentos.
A juíza aceita documentos da Embraer com 08 meses de atraso após vencido o prazo.
Documentos falsificados (locais de trabalho errado e documentos sem assinatura) são aceitos e os meus devidamente preenchidos são barrados.
Documentos desaparecem nos tribunais de Campinas/SP (Segunda Instância).
Fui impedido de meu direito a ampla defesa e o contraditório.
Impedido de ter um juiz imparcial e competente.
Isto não é descontentamento é reclamação por meus direitos!
Já enviei petições aos órgãos públicos pedindo explicações mas parece que existe uma preguiça em ler ou em condenar um colega de profissão,em condenar um juiz ou em me dar o direito a ampla defesa e contraditório.
Então, nossa justiça possui Falta de Proficiência (F.d.P)?",http://www.stf.jus.br,4,5
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/269481/stf-supremo-tribunal-federal/a-mediocridade-da-justica-brasileira/,A mediocridade da Justiça Brasileira.,"
        Possuo atualmente quatro processos distintos e por falha do advogado ou do juiz estou sofrendo com eles.
Um é trabalhista contra a Embraer S.A (TRT 15 e Campinas/SP), está em segunda instância mas devido ao Jus Postulando não posso rumar para a terceira instância.
Existem falhas no processo, o perito alterou a minha função de trabalho ""descaradamente"", atua no sistema médico da empresa reclamada, EU que entreguei as fichas de segurança mostrando os perigos dos materiais utilizados (hoje sofro de problemas nas mãos justamente por terem me fornecido luvas erradas), e a reclamada impugnou ""sem provas"" um documento entregue por mim que é ORIGINAL da reclamada.
Existiu ainda a omissão no julgado porque o tribunal se recusa a aceitar as minhas provas na inicial de acordo com o artigo n° 840 da CLT, mas se recusa a aceitar de acordo com o artigo 787 também da CLT, ao ser questionada a juíza nega meus pedidos e se recusa a aceitar as petições enviados via eletrônica, e as petições enviadas via correios ""desaparecem"", peço a restauração dos autos (art. 1063 do CPC), mas então os pedidos são anexados em lugar errado e novamente!
Portanto a juíza trabalhista do TRT 15 (Campinas/SP) nega o meu direito a ampla defesa (recusando a documentação inicial), negação de prestação jurisdicional (no meu direito de ter a documentação e provas aceitas e protocoladas corretamente pela secretaria), de corrigir a omissão no julgado (Súmula 278 do TST).
E não posso ir sem advogado a terceira instância e ninguém deseja me defender contra uma grande empresa como a Embraer e porque dizem que meu antigo patrono havia sido ""comprado"", tanto que o processei recentemente e recebi uma indenização por isto, o que de certa forma comprova a teoria dele ter sico ""comprado""(?).
O outro é um processo cível onde o juiz de Jacareí/SP ao não ler a inicial indefere um pedido contra o banco Santander e hoje sou obrigado a recorrer.
Este mesmo juiz atuou no processo contra meu ex-advogado do processo Embraer S.A,quase o perdi porque o juiz não leu a inicial e quando o questionei (o senhor leu o conteúdo da inicial?) ele respondeu ""não"", depois pediu cinco minutos para ler, ao entender a causa tentou voltar atrás mas isto somente gerou confusão da parte requerida.
Por esta trapalhada judicial perdi de ganhar um valor considerável, e o que mais me enoja foi em o juiz aceitar que eu não reclamasse a OAB sobre o advogado, tudo pela ""conciliação"".
Este é o conceito de conciliação na justiça?
O outro é sobre uma multa de trânsito, onde eu estava no trabalho na hora da multa (14:50 horas em Jacareí /SP), o carro autuado era verde e o carro que dirigia é branco, mostrei ao orgão julgador meus cartões de ponto, a imagem da câmera de segurança e mesmo assim foi indeferido e a multa foi julgada em 34 dias, prazo acima dos 30 dias permitido por lei (artigo 285 do CTB), tudo pela pressa de entregar os pedido antes do final do ano de 2015!
E o orgão da multa não possui nenhuma foto ou algo válido que me mostre no local da infração no dia e hora!
Isto que é definição da justiça no Brasil?
E com advogados (nem todos) incompetentes o que será do povo brasileiro sem o Jus Postulandi?
Mas que adianta o Jus Postulandi com juízes (nem todos) que usam a força do ofício par esconder suas falhas?
O cidadão brasileiro para ter um julgamento decente necessita ter a sorte de encontrar gente decente no sistema judicial nacional, mas e se não encontrar?
A própria Constituição Federal (art. 5, XXXIV) me dá o direito de envio de petições aos orgãos públicos, eu enviei a meses e até agora nada, a Constituição lhe dá o direito de envio, mas não dá a obrigação aos orgãos de responder.
Esta é a nossas justiça?",http://www.stf.jus.br,5,6
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/295209/stf-supremo-tribunal-federal/abertura-de-inquerito/,Abertura de inquérito,"
        O STF abriu processo sem provas contra Jair Bolsonaro, quero deixar minha denúncia.",http://www.stf.jus.br,6,1
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/236781/stf-supremo-tribunal-federal/processo-ja-julgado-e-indeferido/,PROCESSO JA JULGADO  E INDEFERIDO,"
        MEU EX ESPOSO JA ESTA DOENTE CRONICO E   TEM DIABETES PRECISA DE AJUDA, O    PROCESSO DELE DURA 27 ANOS NEM O CONSELHO NACIONAL DE JUSTIÇA   NAO RESOLVEU, FOI JULGADO COMO ANISTIADO DO ARSENAL DE MARINHA DO RIO DE JANEIRO E ELE JA ERA PRA TER RECEBIDO E UM JOGO DE EMPURRA GOVERNO E MARINHA,MEU EX TEM DIREITO A PRIORIDADE E   POR ESTAR DOENTE, OS AMIGOS DE TRABALHO JA FALECERAM ESTAO ESPERANDO O QUE   ELE JA FOI ANISTIADO PELO  TRIBNAL DO RJ  E O EXCELENTISSIMO MINISTRO DA JUSTIÇA JOSE EDUARDO CARDOSO   INDEFERIU O PROCESSO QUE JA TEVE  ANISTIA NAO ENTENDO  ISSO GOSTARIA DE ESCLARECIMENTOSSSS PELO AMOR DE DEUSSSSSSS  OBRIGADA",http://www.stf.jus.br,7,2
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/268013/stf-supremo-tribunal-federal/cf88/,CF88,"
        Vergonhas ter esses Ministros do STF.
Vocês estão indo contra a CF/88, mostra assim como nossa justiça é falha. Absurdo ver essa corte trabalhar contra os príncipios da CF.
Vergonha da Justiça.
Vergonha dos Ministros.
A mais alta corte, está indo para o buraco como a república!",http://www.stf.jus.br,8,3
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/256228/stf-supremo-tribunal-federal/pais-bolivariano-e-um-pais-esquizofrenico-sem-direito-de-def/,País bolivariano é um país esquizofrênico/sem direito de defesa,"
        País bolivariano é um país esquizofrênico. A esquizofrenia política e a esquizofrenia da justiça.
""Um presidente não pode ser responsabilizado por atos em mandatos anteriores"", mesmo sendo ela mesma a responsável pelo mandato anterior?
Se esta Constituição é esquizofrênica a este ponto de não responsabilizar a mesma pessoa reeleita para o mesmo cargo por atos cometidos por ela mesma em mandato anterior, de que nos serve esta Constituição? 
O Estado nasceu falido. Não é possível garantir direitos num estado esquizofrênico, bipolar e dicotômico.
Por este motivo os bandidos estão fazendo o que querem, pois têm a garantia de impunidade, e de inúmeras maneiras. O cidadão não tem direito de defesa.",http://www.stf.jus.br,9,4
stf-supremo-tribunal-federal,https://cidadao.reclameaqui.com.br/284209/stf-supremo-tribunal-federal/processo-de-impugnacao-julgado-improcedente-pela-receita-fed/,"Processo de impugnação julgado improcedente pela receita federal,com erro gravissimo.","
        Boa noite venho por meio desta pedir ajuda,pois venho sendo humilhado pela Receita Federal sem direito a defesa justa o processo de número;18470.728096/2012-45,vem me intimando a pagar valores,que nem sei se reference a mim Miguel Mauro A. dos Santos,pois na época que fui a uma loja da Recita Federal aqui no rio de Janeiro que fica no bairro do Méier,a rua Dias da Cruz,a atendente a me pedir os meus documentos para dar entrada no meu pedido de impugnação,levou um susto pois um funcionário desta loja errou na digitação e colocou o nome de uma contribuinte no lugar do meu e também o cpf,ai a mesma pediu para que eu aguardasse e logo em seguida veio falar comigo que havia existido esse erro e que ela pedia desculpas pelo erro,ai a perguntei e agora como fica o meu caso,a mesma me respondeu pode ficar tranquilo que logo o senhor sera chamado para fazer um novo pedido de impugnação,agora com os dados certos e isso não aconteceu,eu fora julgado e condenado,e tudo mais,agora envio mensagens para ouvidoria geral da receita e eles não dão a mínima para o que estou relatando,só me pedem para que eu procure uma loja da receita para fazer o acordo para pagamento,quero pagar mais não sem direito iguais a de todos os contribuintes,ainda mais com um erro gravíssimo como esse,sera que eu mesmo doente,com gastos enormes,não mereço ser respeitado,já fui julgado também pela justiça federal e condenado,tive o meu nome sujo sendo uma pessoa cumpridora dos meus deveres,sem antecedentes criminais,integro depois de velho e doente,nunca fugi as minhas responsabilidades eu só queria ter o direito de defesa como todos tem,e não ter meus direitos tirados por descaso e desinteresse,em todos os processos pelo qual respondi nunca deixei de usar a verdade,e sempre  que chamado fui me apresentei como um cidadão comum mais integro,e agora me retiram estes direitos no fim da minha vida,ao STF peço mui respeitosamente que avalie o meu caso com carinho para que eu não seja mais um dos milhões de contribuintes a ter seus direitos negados por descaso,senhores tenho 58 anos com diabetes Mellitus,hipertensão arterial,câncer na tireoide,esse Nódulo desde 2009,e agora com a visão prejudicada,e o presente que recebo deste país que eu tanto amo no final da minha vida e depois de tanto ter trabalhado,hoje precisando de ajuda e mesma me sendo negada,mais agora acho que o STF,órgão de grande respeito e atenção ao povo brasileiro ira atentar para o meu caso,quero pagar o que devo mais o valor que diz respeito e não valores dos outros obrigado e certo de sua atenção desde já agradeço.e que Deus os abençoe neste momento difícil que vive o nosso país.",http://www.stf.jus.br,10,5
